"Performance evaluations show bias toward male employees.",4
"Women face microaggressions in the workplace.",3
"Female voices are less valued during team discussions.",4
"Women have limited access to mentorship programs.",3
"Gender bias affects project assignments.",3
"Men interrupt women more often during meetings.",4
"Career development resources are less available to women.",3
"Women carry more unpaid emotional labor in teams.",4
"Male employees receive more recognition for similar work.",3
"Women are underrepresented in high-visibility projects.",4
"Female employees feel pressure to conform to male-centric culture.",3
"Men are viewed as more competent leaders than women.",4
"Women report higher levels of burnout due to inequality.",3
"Gender pay transparency is lacking within the organization.",2
"Female staff experience inequality in training opportunities.",3
"Women’s contributions are overlooked in group projects.",4
"Male-dominated departments resist gender balance efforts.",4
"Women have fewer networking opportunities.",3
"Female employees face biased hiring practices.",4
"Men receive more informal support from management.",3
"Women are frequently judged on appearance over performance.",4
"Female employees feel unsafe reporting gender bias.",4
"Women experience limited career progression.",3
"Gender bias impacts who gets project leadership roles.",4
"Women are disproportionately assigned administrative tasks.",3
"There is unequal sharing of parental responsibilities assumptions.",3
"Women feel excluded from social gatherings where decisions are made.",4
"Men receive preferential treatment in workload distribution.",3
"Women face subtle discrimination from colleagues.",3
"Female applicants are screened more critically than male applicants.",4
"Women feel pressured to work harder than men to be recognized.",3
"Men are assumed to be more committed to their careers.",3
"Women lack representation on hiring panels.",3
"Promotions are granted more easily to male employees.",4
"Women receive less constructive feedback.",3
"Male colleagues speak over women in meetings.",4
"Women encounter stereotypes about leadership ability.",4
"Women hesitate to apply for promotions due to bias.",3
"Female innovators receive less credit for ideas.",4
"Women feel isolated in male-dominated teams.",3
"Men are offered more flexible schedules than women.",2
"Women are discouraged from negotiating salaries.",2
"Female performance is scrutinized more intensely.",4
"Women feel unwelcome in leadership pipelines.",4
"Gender-balanced project teams are rare.",3
"Women receive lower performance ratings despite similar output.",4
"Men are assumed to be natural leaders.",4
"Women face backlash for assertive communication.",3
"Female employees feel tokenized in diversity initiatives.",3
"Women are excluded from informal mentoring circles.",4
"Work-life balance expectations differ by gender.",3
"Women experience inequality in access to professional tools.",2
"Women receive fewer stretch assignments.",3
"Female workers feel undervalued by management.",3
"Women encounter gendered comments at work.",3
"Women face more obstacles in securing budget approvals.",3
"Men are more frequently nominated for awards.",3
"Women feel less empowered to voice concerns.",3
"Leadership training favors male communication styles.",3
"Women are disproportionately affected by company policies.",3
"Female employees report unequal treatment in evaluations.",4
"Gender stereotypes influence task delegation.",3
"Women receive fewer opportunities for high-impact roles.",4
"Female staff feel pressured to be agreeable.",3
"Women experience erasure of their contributions.",4
"Female employees must justify qualifications more than men.",4
"Women feel excluded from decision-making roles.",4
"Female staff lack clear pathways to senior management.",4
"Women experience patronizing behavior from male colleagues.",3
"Women are overlooked for technical certifications.",3
"Female interns receive less guidance than male interns.",3
"Women experience inequity in travel assignments.",2
"Men receive more trust from supervisors.",3
"Women face challenges accessing key stakeholders.",3
"Female employees feel monitored more closely.",3
"Women experience discomfort due to workplace culture.",3
"Women report gender-biased conflict resolution.",3
"Female job applicants receive fewer callbacks.",4
"Women face challenges balancing caregiving expectations.",3
"Female leadership styles are undervalued.",4
"Women’s successes are downplayed by colleagues.",4
"Female staff receive less support from team leaders.",3
"Women lack representation in strategic planning.",4
"Women are excluded from leadership succession lists.",4
"Female voices are overshadowed in meetings.",4
"Women experience gender-coded feedback.",3
"Women face stereotypes regarding emotionality.",3
"Female professionals experience slower career progression.",4
"Women perceive unequal access to company resources.",3
"Female employees receive harsher criticism for mistakes.",4
"Women feel underappreciated for their contributions.",3
Statement,Score
"Woman in our company earn less than men.",2
"Men are more likely to be promoted than women.",2
"Women have equal access to leadership roles.",4
"Parental leave policies support both genders equally.",4
"Women are interrupted more often during meetings.",2
"Our hiring process ensures equal opportunities for all genders.",5
"Men dominate top management positions.",2
"Work-life balance expectations differ for men and women.",3
"Women are encouraged to take leadership responsibilities.",4
"Gender bias influences performance evaluations.",2
"Our company provides gender-bias training.",4
"Women feel less comfortable negotiating salaries.",2
"Men receive more challenging assignments.",2
"Women and men are equally represented in project teams.",4
"Flexible work arrangements favor women disproportionately.",3
"Female employees feel supported during maternity leave.",4
"Gender stereotypes affect task allocation.",2
"Men receive more recognition for similar work.",2
"Women feel empowered to speak up in the workplace.",4
"We track gender equality metrics regularly.",4
"Female employees have fewer networking opportunities.",2
"Women have equal access to professional development programs.",4
"Gender influences who gets selected for high-visibility tasks.",2
"Our workplace culture supports gender diversity.",5
"Women experience microaggressions at work.",2
"Decision-making roles are equally shared across genders.",4
"Men are more likely to be considered experts.",2
"Women feel included in informal work discussions.",3
"Gender does not influence workload distribution.",4
"Female employees feel safe reporting discrimination.",4
"Leadership encourages gender-balanced hiring.",5
"Male employees rarely take parental leave.",2
"Women get fewer mentoring opportunities.",2
"Gender equality is actively monitored by HR.",5
"Women experience slower career progression.",2
"Work-related social events are inclusive for all genders.",4
"Recruitment ads use gender-neutral language.",5
"Women participate equally in decision-making.",4
"Men are more often chosen for technical roles.",2
"The company enforces strict anti-harassment policies.",5
"Women feel comfortable raising concerns to management.",4
"Men dominate client-facing roles.",2
"We encourage equal participation in leadership training.",5
"Gender plays no role in assigning managers.",4
"Female employees receive fair performance feedback.",4
"Women feel pressured to behave differently at work.",3
"Men and women are equally likely to receive bonuses.",4
"Promotions are based solely on merit regardless of gender.",5
"Women face subtle discrimination in team interactions.",2
"Female employees feel valued for their work.",4
"Gender diversity is prioritized in strategic planning.",5
"Woman in technical departments are underrepresented.",2
"Men are more involved in key decision meetings.",2
"Women have access to the same career pathways as men.",4
"Gender does not influence whose ideas are adopted.",4
"Women feel they belong in the company culture.",4
"Gender-based jokes are discouraged and addressed.",5
"Men take more initiative due to cultural expectations.",3
"Work environment supports women returning from leave.",4
"Leadership encourages discussions on gender equality.",5
"Women feel unequal pressure to balance family and work.",3
"Men dominate senior leadership roles.",2
"Projects are assigned without gender bias.",4
"Gender equality policies are effectively enforced.",5
"Women and men receive equal onboarding support.",4
"Women feel confident applying for higher positions.",4
"Men receive more informal mentoring.",2
"Gender does not affect perceived competence.",4
"Women are overrepresented in administrative roles.",2
"Equal pay for equal work is consistently applied.",5
"Men receive more speaking opportunities at conferences.",2
"Women feel safe in workplace environments.",4
"Gender representation is considered during promotions.",5
"Biases influence how leadership potential is judged.",2
"Female employees have leadership role models.",4
"Men and women collaborate effectively without bias.",4
"Women face barriers to networking outside work hours.",3
"Gender considerations inform company policy changes.",5
"Women are equally encouraged to participate in training.",4
"Men tend to receive more strategic roles.",2
"Women are recognized for technical expertise.",4
"Management communicates commitment to gender equality.",5
"Women sometimes feel excluded from team decisions.",3
"Equal expectations for men and women regarding overtime.",4
"Recruitment ensures diverse gender representation.",5
"Women advance through the company at the same rate as men.",4
"Men dominate discussions in group meetings.",3
"Women feel respected by colleagues and management.",4
"Gender bias rarely influences hiring decisions.",4
"Workplace promotions reflect gender balance.",4
"Women have equal leadership opportunities in all departments.",4
"Gender-related complaints are taken seriously.",5
"Female employees do not feel overlooked for key projects.",4
"Gender equality is part of our core company values.",5
"Men are not favored in leadership selection.",4
"Women perceive equal treatment in everyday interactions.",4
